asv,sample,counts,presence,local,type,species,taxa
ASV_908,HONEYSBBP3,120,0,BP,HONEY,SB,f__Saccharomycetaceae
ASV_712,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Wickerhamiella
ASV_855,GUARDSBBP3,674,0,BP,GUARD,SB,g__Starmerella
ASV_78,LARVAESBSC1,0,0,SC,LARVAE,SB,g__Diutina
ASV_40,HONEYSBSC1,0,0,SC,HONEY,SB,g__Plenodomus
ASV_9,POLLENSDBP1,61,1,BP,POLLEN,SD,g__Cladosporium
ASV_686,LARVAESBSC2,0,0,SC,LARVAE,SB,g__Debaryomyces
ASV_91,POLLENSDSC2,0,0,SC,POLLEN,SD,g__Candida
ASV_64,FOODSDSC2,0,0,SC,FOOD,SD,g__Cutaneotrichosporon
ASV_884,POLLENSDSC2,207,0,SC,POLLEN,SD,o__Saccharomycetales
ASV_892,POLLENSDBG2,80,0,BG,POLLEN,SD,k__Fungi
ASV_95,HONEYSDBP3,0,0,BP,HONEY,SD,g__Zygosaccharomyces
ASV_78,POLLENSDSC1,7,0,SC,POLLEN,SD,g__Diutina
ASV_898,NURSESDBG2,0,0,BG,NURSE,SD,g__Papiliotrema
ASV_9,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Cladosporium
ASV_40,NURSESBBG1,0,0,BG,NURSE,SB,g__Plenodomus
ASV_855,POLLENSDSC1,176,0,SC,POLLEN,SD,g__Starmerella
ASV_78,LARVAESBBP2,0,0,BP,LARVAE,SB,g__Diutina
ASV_91,FOODSBSC1,0,0,SC,FOOD,SB,g__Candida
ASV_898,FORAGERSDBG1,13,0,BG,FORAGER,SD,g__Papiliotrema
ASV_40,NURSESBBP4,0,0,BP,NURSE,SB,g__Plenodomus
ASV_855,NURSESBSC1,33,0,SC,NURSE,SB,g__Starmerella
ASV_855,LARVAE1SDBP4,0,0,BP,LARVAE,SD,g__Starmerella
ASV_64,FORAGERSBBP4,0,0,BP,FORAGER,SB,g__Cutaneotrichosporon
ASV_40,LARVAESBBP2,0,0,BP,LARVAE,SB,g__Plenodomus
ASV_892,LARVAE3SBBP4,0,0,BP,LARVAE,SB,k__Fungi
ASV_64,HONEYSDBG1,0,0,BG,HONEY,SD,g__Cutaneotrichosporon
ASV_78,LARVAE2SBBP3,0,0,BP,LARVAE,SB,g__Diutina
ASV_40,LARVAE1SBBP4,0,0,BP,LARVAE,SB,g__Plenodomus
ASV_40,NURSESBSC2,0,0,SC,NURSE,SB,g__Plenodomus
ASV_91,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Candida
ASV_78,POLLENSDBP2,0,0,BP,POLLEN,SD,g__Diutina
ASV_34,LARVAE1SBBP4,0,0,BP,LARVAE,SB,f__Acrospermaceae
ASV_95,LARVAESBSC2,0,0,SC,LARVAE,SB,g__Zygosaccharomyces
ASV_78,HONEYSDBG1,230,0,BG,HONEY,SD,g__Diutina
ASV_98,FORAGERSBBP3,271,0,BP,FORAGER,SB,g__Metschnikowia
ASV_892,LARVAE2SBBP3,0,0,BP,LARVAE,SB,k__Fungi
ASV_898,POLLENSDSC2,0,0,SC,POLLEN,SD,g__Papiliotrema
ASV_34,HONEYSDBP1,7,1,BP,HONEY,SD,f__Acrospermaceae
ASV_898,POLLENSBBP3,4,0,BP,POLLEN,SB,g__Papiliotrema
ASV_855,POLLENSDSC2,43,0,SC,POLLEN,SD,g__Starmerella
ASV_95,FOODSDSC2,86,0,SC,FOOD,SD,g__Zygosaccharomyces
ASV_908,FOODSBSC2,13307,0,SC,FOOD,SB,f__Saccharomycetaceae
ASV_855,HONEYSBSC1,53,0,SC,HONEY,SB,g__Starmerella
ASV_686,FOODSDSC2,27,0,SC,FOOD,SD,g__Debaryomyces
ASV_892,LARVAESBBP1,0,0,BP,LARVAE,SB,k__Fungi
ASV_686,FOODSBBP3,5,0,BP,FOOD,SB,g__Debaryomyces
ASV_92,POLLENSBBP3,41,0,BP,POLLEN,SB,p__Ascomycota
ASV_859,FORAGERSDSC2,78,0,SC,FORAGER,SD,g__Hannaella
ASV_855,NURSESBSC2,59,0,SC,NURSE,SB,g__Starmerella
ASV_78,HONEYSBSC1,49,0,SC,HONEY,SB,g__Diutina
ASV_78,FOODSDSC1,0,0,SC,FOOD,SD,g__Diutina
ASV_91,FOODSDSC2,14,0,SC,FOOD,SD,g__Candida
ASV_34,FOODSBSC2,0,0,SC,FOOD,SB,f__Acrospermaceae
ASV_686,POLLENSDBP2,15,0,BP,POLLEN,SD,g__Debaryomyces
ASV_855,LARVAESBBG2,9,0,BG,LARVAE,SB,g__Starmerella
ASV_95,FOODSBBG2,0,0,BG,FOOD,SB,g__Zygosaccharomyces
ASV_64,HONEYSBBP3,44,1,BP,HONEY,SB,g__Cutaneotrichosporon
ASV_92,POLLENSDBP2,454,0,BP,POLLEN,SD,p__Ascomycota
ASV_64,HONEYSBSC1,0,0,SC,HONEY,SB,g__Cutaneotrichosporon
ASV_892,NURSESBSC2,4,0,SC,NURSE,SB,k__Fungi
ASV_40,POLLENSDBG2,0,0,BG,POLLEN,SD,g__Plenodomus
ASV_91,HONEYSBBP3,16,0,BP,HONEY,SB,g__Candida
ASV_34,POLLENSDSC2,0,0,SC,POLLEN,SD,f__Acrospermaceae
ASV_908,NURSESBBP4,465,0,BP,NURSE,SB,f__Saccharomycetaceae
ASV_9,LARVAESBBP2,0,0,BP,LARVAE,SB,g__Cladosporium
ASV_884,NURSESDSC2,46,0,SC,NURSE,SD,o__Saccharomycetales
ASV_859,GUARDSBBP3,0,0,BP,GUARD,SB,g__Hannaella
ASV_34,NURSESBBP4,0,0,BP,NURSE,SB,f__Acrospermaceae
ASV_95,HONEYSBBP4,0,0,BP,HONEY,SB,g__Zygosaccharomyces
ASV_859,POLLENSDSC1,33,0,SC,POLLEN,SD,g__Hannaella
ASV_78,FOODSDBP2,7,0,BP,FOOD,SD,g__Diutina
ASV_95,HONEYSDSC1,88,0,SC,HONEY,SD,g__Zygosaccharomyces
ASV_859,LARVAESBBP1,0,0,BP,LARVAE,SB,g__Hannaella
ASV_892,HONEYSDBP1,528,0,BP,HONEY,SD,k__Fungi
ASV_855,FOODSBBP3,171,0,BP,FOOD,SB,g__Starmerella
ASV_859,FOODSDBP1,0,0,BP,FOOD,SD,g__Hannaella
ASV_64,GUARDSDSC2,389,1,SC,GUARD,SD,g__Cutaneotrichosporon
ASV_898,LARVAE1SDBP4,0,0,BP,LARVAE,SD,g__Papiliotrema
ASV_40,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Plenodomus
ASV_898,FORAGERSBBP4,0,0,BP,FORAGER,SB,g__Papiliotrema
ASV_98,FOODSDBP1,62,0,BP,FOOD,SD,g__Metschnikowia
ASV_9,NURSESBSC1,284,1,SC,NURSE,SB,g__Cladosporium
ASV_95,FORAGERSBBP4,0,0,BP,FORAGER,SB,g__Zygosaccharomyces
ASV_908,FOODSDBP2,1426,0,BP,FOOD,SD,f__Saccharomycetaceae
ASV_78,HONEYSDBP3,0,0,BP,HONEY,SD,g__Diutina
ASV_908,FOODSBSC1,2966,0,SC,FOOD,SB,f__Saccharomycetaceae
ASV_855,FOODSBBP4,272,0,BP,FOOD,SB,g__Starmerella
ASV_92,FOODSBBP3,36,0,BP,FOOD,SB,p__Ascomycota
ASV_9,FOODSDBP2,418,1,BP,FOOD,SD,g__Cladosporium
ASV_908,LARVAE2SBBP4,23225,0,BP,LARVAE,SB,f__Saccharomycetaceae
ASV_9,HONEYSDSC1,837,1,SC,HONEY,SD,g__Cladosporium
ASV_92,FOODSDBP2,611,0,BP,FOOD,SD,p__Ascomycota
ASV_92,FORAGERSBBP4,47,0,BP,FORAGER,SB,p__Ascomycota
ASV_855,FORAGERSDSC2,269,0,SC,FORAGER,SD,g__Starmerella
ASV_64,HONEYSDBP1,0,0,BP,HONEY,SD,g__Cutaneotrichosporon
ASV_91,LARVAESBSC1,0,0,SC,LARVAE,SB,g__Candida
ASV_98,LARVAESBSC1,0,0,SC,LARVAE,SB,g__Metschnikowia
ASV_892,NURSESBBP4,23,0,BP,NURSE,SB,k__Fungi
ASV_884,GUARDSDBG1,0,0,BG,GUARD,SD,o__Saccharomycetales
ASV_98,NURSESBSC2,496,0,SC,NURSE,SB,g__Metschnikowia
ASV_34,GUARDSBBP3,0,0,BP,GUARD,SB,f__Acrospermaceae
ASV_34,NURSESBSC2,0,0,SC,NURSE,SB,f__Acrospermaceae
ASV_908,NURSESBBP3,3232,0,BP,NURSE,SB,f__Saccharomycetaceae
ASV_92,FOODSBSC1,1414,0,SC,FOOD,SB,p__Ascomycota
ASV_892,NURSESDSC2,12,0,SC,NURSE,SD,k__Fungi
ASV_884,POLLENSDSC1,628,0,SC,POLLEN,SD,o__Saccharomycetales
ASV_91,POLLENSDSC1,10,0,SC,POLLEN,SD,g__Candida
ASV_92,HONEYSDBP1,4933,0,BP,HONEY,SD,p__Ascomycota
ASV_34,POLLENSDBP1,0,0,BP,POLLEN,SD,f__Acrospermaceae
ASV_898,LARVAE2SBBP3,0,0,BP,LARVAE,SB,g__Papiliotrema
ASV_9,LARVAE1SBBP4,0,0,BP,LARVAE,SB,g__Cladosporium
ASV_855,LARVAESBBP1,0,0,BP,LARVAE,SB,g__Starmerella
ASV_34,LARVAESBSC1,0,0,SC,LARVAE,SB,f__Acrospermaceae
ASV_859,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Hannaella
