asv,sample,counts,presence,local,type,species,taxa
ASV_71,FORAGERSDBP1,585,0,BP,FORAGER,SD,Weissella
ASV_44,POLLENSDBP2,0,0,BP,POLLEN,SD,Erysipelatoclostridium
ASV_62,FOODSBBP3,20,0,BP,FOOD,SB,Acinetobacter
ASV_71,HONEYSBBG1,0,0,BG,HONEY,SB,Weissella
ASV_86,FORAGERSBBP4,815,1,BP,FORAGER,SB,Acetobacteraceae
ASV_85,NURSESBBG1,0,0,BG,NURSE,SB,Tyzzerella
ASV_62,FORAGERSBBG1,0,0,BG,FORAGER,SB,Acinetobacter
ASV_99,HONEYSDSC1,98155,1,SC,HONEY,SD,Lactobacillaceae
ASV_60,HONEYSBBP4,87,0,BP,HONEY,SB,Enterobacterales
ASV_14,FOODSBSC2,11,1,SC,FOOD,SB,Raoultella
ASV_439,NURSESBBP4,0,0,BP,NURSE,SB,Bifidobacteriaceae
ASV_14,FORAGERSDBG1,7,1,BG,FORAGER,SD,Raoultella
ASV_62,FORAGERSBBP4,0,0,BP,FORAGER,SB,Acinetobacter
ASV_99,POLLENSBBP3,16958,0,BP,POLLEN,SB,Lactobacillaceae
ASV_96,NURSESBBG1,0,0,BG,NURSE,SB,Micrococcaceae
ASV_71,GUARDSDBG1,691,0,BG,GUARD,SD,Weissella
ASV_44,FORAGERSDBG2,0,0,BG,FORAGER,SD,Erysipelatoclostridium
ASV_17,HONEYSBBP3,323,1,BP,HONEY,SB,Floricoccus
ASV_85,GUARDSBBP3,0,0,BP,GUARD,SB,Tyzzerella
ASV_86,FORAGERSBBG1,66,0,BG,FORAGER,SB,Acetobacteraceae
ASV_543,FOODSBBP4,0,0,BP,FOOD,SB,Taibaiella
ASV_86,HONEYSDBP1,8,0,BP,HONEY,SD,Acetobacteraceae
ASV_62,FOODSDBP2,31,1,BP,FOOD,SD,Acinetobacter
ASV_60,HONEYSBBG1,0,0,BG,HONEY,SB,Enterobacterales
ASV_484,LARVAE1SBBP4,0,0,BP,LARVAE,SB,Bifidobacterium
ASV_543,FORAGERSBSC2,0,0,SC,FORAGER,SB,Taibaiella
ASV_71,NURSESDSC2,0,0,SC,NURSE,SD,Weissella
ASV_60,FOODSDSC1,0,0,SC,FOOD,SD,Enterobacterales
ASV_83,FOODSDBG1,0,0,BG,FOOD,SD,Corynebacterium
ASV_86,GUARDSDBG1,118,0,BG,GUARD,SD,Acetobacteraceae
ASV_93,NURSESBBP3,0,0,BP,NURSE,SB,Lactobacillus
ASV_62,FOODSBSC1,0,0,SC,FOOD,SB,Acinetobacter
ASV_17,GUARDSBSC1,113,1,SC,GUARD,SB,Floricoccus
ASV_17,GUARDSDBG1,56,1,BG,GUARD,SD,Floricoccus
ASV_439,POLLENSDBP2,0,0,BP,POLLEN,SD,Bifidobacteriaceae
ASV_83,HONEYSBBG1,35,1,BG,HONEY,SB,Corynebacterium
ASV_96,HONEYSBBG1,6,0,BG,HONEY,SB,Micrococcaceae
ASV_62,HONEYSDBP1,587,1,BP,HONEY,SD,Acinetobacter
ASV_543,NURSESDSC1,5,0,SC,NURSE,SD,Taibaiella
ASV_99,HONEYSDBG1,22598,0,BG,HONEY,SD,Lactobacillaceae
ASV_86,GUARDSBSC2,0,0,SC,GUARD,SB,Acetobacteraceae
ASV_62,FORAGERSBSC2,0,0,SC,FORAGER,SB,Acinetobacter
ASV_96,POLLENSDBG2,0,0,BG,POLLEN,SD,Micrococcaceae
ASV_14,FOODSBBP3,0,0,BP,FOOD,SB,Raoultella
ASV_83,LARVAE1SDBP4,0,0,BP,LARVAE,SD,Corynebacterium
ASV_96,NURSESBBG2,0,0,BG,NURSE,SB,Micrococcaceae
